美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
旭川神社,北海道旭川市東旭川南1条6丁目8番14号
北海道神宮,北海道札幌市中央区宮ヶ丘474
金刀比羅神社,北海道函館市高盛町4-11
鳥取神社 (釧路市),北海道釧路市鳥取大通4丁目2-18
蘆別神社,北海道芦別市北三条西1丁目6
函館八幡宮,北海道函館市谷地頭町2-5
三吉神社 (札幌市),北海道札幌市中央区南1条西8丁目17番地
北海道護國神社,北海道旭川市花咲町一丁目2282番2
帯廣三吉神社,北海道帯広市西5条南2丁目6番地
沼畑神社,北海道栃木県さくら市穂積1410
-,北海道茨城県北茨城市磯原町磯原665
市杵島神社,北海道山梨県富士吉田市下吉田4-19-2
伊勢神宮,北海道埼玉県熊谷市八ッ口
日枝社（結城市山王,北海道茨城県結城市山王428
伊夜日子神社,北海道札幌市中央区中島公園1-8
三吉神社（根室市）,北海道根室市花園町2丁目17番地
三吉神社（釧路市）,北海道釧路市浦見2丁目1番8号
中標津神社,北海道標津郡中標津町西1条南4丁目1番地
上川神社,北海道旭川市神楽岡公園2番地1
厳島神社 (釧路市),北海道釧路市米町1丁目3-18
帯廣神社,北海道帯広市東3条南2丁目1番地
津具厳島神社,北海道三原市大和町大草4738
金刀比羅神社 (根室市),北海道根室市琴平町1-4
金刀比羅神社,北海道函館市高盛町4-11
札幌護國神社,北海道札幌市中央区南１５条西５丁目１-１
姥神大神宮,北海道檜山郡江差町姥神町99
岩見沢神社,北海道岩見沢市12条西1丁目3番地
網走神社,北海道網走市桂町2丁目1番1号
徳山大神宮,北海道松前郡松前町字神明66
岩木山神社,青森県弘前市百沢字寺沢27
新城金峰神社,青森県青森市新城山田402
稲荷神社（青森市筒井）,青森県青森市筒井八ツ橋116-3
香取神社（青森市大矢沢）,青森県青森市大矢沢里見233-2
日吉神社（青森市野内）,青森県青森市野内山王林65-2
大山祇神社（青森市滝沢）,青森県青森市滝沢住吉212-2
諏訪神社（青森市栄町）,青森県青森市栄町1-4-26
稲荷神社（青森市荒川）,青森県青森市荒川品川121-1
善知鳥神社,青森県青森市安方2-7-18
油川神明宮,青森県青森市油川浪返66-2
八幡宮（青森市駒込）,青森県青森市駒込見吉156
八幡宮（青森市三内）,青森県青森市三内沢部209
久須志神社,青森県青森市沢山平野130-11
浦町神明宮,青森県青森市橋本2-7-8
貴船神社（青森市野内）,青森県青森市野内鈴森291-2
廣田神社,青森県青森市長島2-13-5
川上神社（青森市久栗坂）,青森県青森市久栗坂浜田669-1
稲荷神社（青森市大野）,青森県青森市大野若宮133
勝田稲荷神社,青森県青森市勝田1-3-21
事代主神社（青森市青柳）,青森県青森市青柳1-16-22
大石神社（弘前市）,青森県弘前市大字大森字勝山289-1
猿賀神社,青森県平川市猿賀字石林175
櫛引八幡宮,青森県八戸市八幡字八幡丁3-2
熊野宮神社,青森県青森市油川大浜249-2
熊野宮,青森県青森市幸畑谷脇181
稲荷神社（青森市本町）,青森県青森市本町3-7-9
稲荷神社（青森市原別）,青森県青森市原別5-7-2
八甲田神社,青森県青森市幸畑阿部野163-79
春日神社（青森市田茂木野）,青森県青森市田茂木野田茂木沢1
大星神社,青森県青森市問屋町1-18-28
赤神神社　五社堂,秋田県男鹿市船川港本山門前字祓川35
真山神社,秋田県男鹿市北浦真山水喰沢９７
秋田県護国神社,秋田県秋田市寺内大畑5-3
松舘菅原神社/松舘天満宮,秋田県鹿角市八幡平字天神館33番地
金澤八幡宮,秋田県横手市金沢字安本館4
古四王神社,秋田県秋田市寺内字児桜81
秋田諏訪宮,秋田県仙北郡美郷町六郷字本道町19
太平山三吉神社,秋田県秋田市広面字赤沼3-2
鳥海山大物忌神社　吹浦口之宮,山形県飽海郡遊佐町大字吹浦字布倉1
出羽三山神社,山形県鶴岡市羽黒町手向字手向7番地
出羽神社,山形県鶴岡市羽黒町手向字羽黒山33
湯殿山神社,山形県鶴岡市田麦俣字六十里山7
山形県護国神社,山形県山形市薬師町2丁目8-75
月山神社,山形県東田川郡庄内町立谷澤字本澤31
熊野大社 (南陽市),山形県南陽市宮内3476-1
上杉神社,山形県米沢市丸の内1丁目4-13
五所神社 (長井市),山形県長井市寺泉2303
春日神社（米沢市）,山形県米沢市丸の内1
鳥海山大物忌神社　山頂御本社,山形県飽海郡遊佐町大字吹浦字鳥海山1
鳥海山大物忌神社　蕨岡口之宮,山形県飽海郡遊佐町大字上蕨岡字松ヶ岡５１
志和稲荷神社,岩手県紫波郡紫波町升沢字前平17-1
盛岡八幡宮,岩手県盛岡市八幡町13-1
三熊野神社 (花巻市),岩手県花巻市東和町北成島5区1
日高神社,岩手県奥州市水沢区字日高小路13
諏訪神社,岩手県北上市諏訪町１丁目３−９
駒形神社,岩手県奥州市水沢区中上野町1-83
鹿島天足和気神社,宮城県亘理郡亘理町逢隈鹿島字宮前97
蔵王刈田嶺神社,宮城県刈田郡蔵王町大字遠刈田温泉仲町1
松尾神社（仙台市）,宮城県仙台市青葉区宮町4-2-43
御釜神社,宮城県塩竈市本町6-1
鹽竈神社 (仙台市宮城野区),宮城県仙台市宮城野区榴岡2-2-22
白山神社 (仙台市),宮城県仙台市若林区木ノ下3丁目9-1
大崎八幡宮,宮城県仙台市青葉区八幡４丁目６−１
須賀神社（東松山市）,宮城県東松島市矢本字河戸1
御嶽神社,宮城県気仙沼市本吉町下川内1
鹿島御児神社,宮城県石巻市日和が丘２－１－１０
黄金山神社 (石巻市),宮城県石巻市鮎川浜金華山5番地
二柱神社,宮城県仙台市泉区市名坂西裏６１
亘理神社,宮城県亘理郡亘理町字旧舘32
陸奥総社宮,宮城県多賀城市市川字奏社1番地
松尾神社（気仙沼市）,宮城県気仙沼市八日町1
三島神社（宮城県角田市）,宮城県角田市島田字間野田6
宮城縣護國神社,宮城県仙台市青葉区川内1
住吉神社（仙台市）,宮城県仙台市泉区西田中字下田中15
諏訪神社 (仙台市太白区),宮城県仙台市太白区郡山5丁目13-8
鹿島御児神社,宮城県石巻市日和が丘２－１－１０
諏訪神社 (仙台市青葉区),宮城県仙台市青葉区上愛子字宮下40
多賀神社（多賀城市）,宮城県多賀城市高崎1-14-13
多賀神社（仙台市）,宮城県仙台市太白区富沢3-15-1
黄金山神社 (涌谷町),宮城県遠田郡涌谷町涌谷字黄金宮前23
金刀比羅神社,宮城県気仙沼市太田2-6-14
刈田嶺神社 (蔵王町宮)・白鳥大明神,宮城県刈田郡蔵王町宮字馬場1
松尾神社（仙台市）,宮城県仙台市青葉区郷六字葛岡26
仙台東照宮,宮城県仙台市青葉区東照宮1-6-1
赤城神社（登米市）,宮城県登米市中田町宝江新井田字後田28-1
竹駒神社,宮城県岩沼市稲荷町1-1
大杉神社（気仙沼市）,宮城県気仙沼市字町裏241-1
加茂神社 (仙台市),宮城県仙台市泉区古内字糺1
八宮水分神社,宮城県白石市福岡八宮字中川上13-2
水分神社,宮城県刈田郡七ヶ宿町字神林山10
吉田神社 (宮城郡七ヶ浜町),宮城県宮城郡七ヶ浜町吉田浜字宮前29-1
仙台八坂神社,宮城県仙台市宮城野区岩切字若宮前11-7
三嶋神社（宮城県本吉郡）,宮城県本吉郡南三陸町歌津字伊里前55
船丁松尾神社,宮城県仙台市若林区舟丁64-9
金刀比羅神社,宮城県角田市角田字南105
住吉神社（角田市）,宮城県角田市枝野字郡山5
田村神社 (白石市),宮城県白石市斎川字上向山115
鹿島御児神社,宮城県石巻市日和が丘２－１－１０
志波彦神社・鹽竈神社,宮城県塩竈市一森山1番1号
磐椅神社,福島県耶麻郡猪苗代町字西峰6199
土津神社,福島県耶麻郡猪苗代町字見祢山1
大國魂神社（いわき市）,福島県いわき市平菅波宮前54
開成山大神宮,福島県郡山市開成３丁目１−３８
小平潟天満宮,福島県耶麻郡猪苗代町中小松西浜甲1615
心清水八幡神社,福島県河沼郡会津坂下町塔寺字松原2908
霊山神社,福島県伊達市霊山町大石字古屋舘1
梁川八幡宮,福島県伊達市梁川町八幡字堂庭13-1
涼ｹ岡八幡神社,福島県相馬市坪田字涼ケ岡51
梁川天神社,福島県伊達市梁川町字上町10
新宮熊野神社,福島県喜多方市慶徳町新宮字熊野2258
田村神社 (郡山市阿久津町),福島県郡山市阿久津町字続195
田村神社 (郡山市),福島県郡山市田村町山中字本郷135
福島縣護國神社,福島県福島市駒山1
三嶋神社（南相馬市）,福島県南相馬市原町区本町1-1
隠津島神社 (二本松市),福島県二本松市木幡字治家49
馬場都都古別神社,福島県東白川郡棚倉町大字棚倉字馬場39
八槻都都古別神社,福島県東白川郡棚倉町大字八槻字大宮224
伊佐須美神社,福島県大沼郡会津美里町字宮林甲4377
石都々古和気神社,福島県石川郡石川町下泉296
阿佐谷神明宮,東京都杉並区阿佐谷北1-25-5
秩父神社,東京都埼玉県秩父市番場町1-3
粟島神社/淡嶋神社,東京都豊島区要町2-14-4
市守大鳥神社,東京都八王子市横山町25-3
湯島天満宮,東京都文京区湯島3丁目30番1号
菅原神社（世田谷区）,東京都世田谷区松原3-20-16
菅原神社 (町田市),東京都町田市本町田802番地
末廣稲荷神社,東京都港区赤坂4-13-17
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
谷保天満宮,東京都国立市谷保5209
穴澤天神社,東京都稲城市矢野口3292
立川水天宮阿豆佐味天神社/立川水天宮,東京都立川市砂川町4-1-1
洲崎神社,東京都江東区木場6-13-13
志村熊野神社,東京都板橋区志村2-16-2
末廣稲荷神社,東京都港区赤坂4-13-17
住吉神社 (東京都中央区),東京都中央区佃一丁目1-14
多賀神社（八王子市）,東京都八王子市元本郷町4-9-21
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
熊野神社（板橋区前野）,東京都板橋区前野町３丁目３８−３
金刀比羅宮東京分社,東京都文京区本郷1-5-11
池袋水天宮,東京都豊島区東池袋1-50-23
浅草神社,東京都台東区浅草2丁目3-1
立川諏訪神社,東京都立川市柴崎町1-5-15
大島稲荷神社,東京都江東区大島5丁目39-26
大鳥神社,東京都豊島区雑司が谷3-20-14
練馬大鳥神社,東京都練馬区豊玉北5-18-4
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
志村熊野神社,東京都板橋区志村2-16-2
末廣稲荷神社,東京都港区赤坂4-13-17
東京大神宮,東京都千代田区富士見二丁目4番
秋葉神社,東京都台東区松が谷三丁目10番7号
花畑大鷲神社,東京都足立区花畑7-15-1
若宮八幡社（町田市）,東京都町田市相原町4707
日野八坂神社,東京都日野市日野本町3-14-12
樫立三島神社,東京都八丈島八丈町樫立722
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
白山神社 (文京区),東京都文京区白山5丁目31-26
白山神社 (多摩市落合),東京都多摩市落合2丁目2番1号
金子稲荷神社,東京都調布市西つつじヶ丘4-9
松陰神社,東京都世田谷区若林4丁目35-1
妻恋神社,東京都文京区湯島３丁目２−６
神楽坂若宮八幡神社,東京都新宿区若宮町18
元三島神社,東京都台東区根岸1-7-11
子ﾉ権現三島神社,東京都狛江市西野川1-17-8
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
白山神社 (練馬区),東京都練馬区練馬4-2
西久保八幡神社/飯倉八幡宮,東京都港区虎ノ門5-10-14
赤城神社,東京都新宿区赤城元町 1-10
谷在家赤城神社,東京都足立区谷在家2-16-17
水元稲荷神社,東京都港区三田2
大麻止乃豆乃天神社,東京都稲城市大丸８４７
上石原若宮八幡神社,東京都調布市下石原3-5-1
興之宮神社,東京都江戸川区興宮町18-26
熊野神社 (新宿区),東京都新宿区西新宿2-11-2
久富稲荷神社,東京都世田谷区新町2-17-1
粕谷八幡神社,東京都世田谷区粕谷1-23-18
扇三嶋神社,東京都足立区扇2-9-3
志村熊野神社,東京都板橋区志村2-16-2
